"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120140","Verify that the account is created successfully - Fill in all the required fields","","Sat Aug 30 05:22:56 UTC 2025","broken","Sat Aug 30 05:24:57 UTC 2025","","Validate creating an account","",""
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Sat Aug 30 05:24:57 UTC 2025","skipped","Sat Aug 30 05:24:57 UTC 2025","","Validate creating an account","",""
"","120139","Validate search functionality - provide a search term","","Sat Aug 30 05:29:36 UTC 2025","broken","Sat Aug 30 05:31:36 UTC 2025","","Validate Search","",""
