"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60156","Verify that the account is created successfully - Fill in all the required fields","","Mon Aug 11 05:32:03 GMT 2025","broken","Mon Aug 11 05:33:03 GMT 2025","","Validate creating an account","",""
"","60156","Validate search functionality - provide a search term","","Mon Aug 11 05:35:05 GMT 2025","broken","Mon Aug 11 05:36:05 GMT 2025","","Validate Search","",""
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Mon Aug 11 05:33:03 GMT 2025","skipped","Mon Aug 11 05:33:03 GMT 2025","","Validate creating an account","",""
