"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120120","Validate search functionality - provide a search term","","Mon Aug 11 16:45:48 GMT 2025","broken","Mon Aug 11 16:47:48 GMT 2025","","Validate Search","",""
"","1","Validate the unsuccessful account creation - Leave required fields empty","","Mon Aug 11 16:41:16 GMT 2025","skipped","Mon Aug 11 16:41:16 GMT 2025","","Validate creating an account","",""
"","120120","Verify that the account is created successfully - Fill in all the required fields","","Mon Aug 11 16:39:16 GMT 2025","broken","Mon Aug 11 16:41:16 GMT 2025","","Validate creating an account","",""
