"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60122","Verify that the account is created successfully - Fill in all the required fields","","Fri Aug 01 21:13:24 GMT 2025","broken","Fri Aug 01 21:14:24 GMT 2025","","Validate creating an account","",""
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Fri Aug 01 21:14:24 GMT 2025","skipped","Fri Aug 01 21:14:24 GMT 2025","","Validate creating an account","",""
"","60118","Validate search functionality - provide a search term","","Fri Aug 01 21:16:42 GMT 2025","broken","Fri Aug 01 21:17:42 GMT 2025","","Validate Search","",""
