"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30225","Validate search functionality - provide a search term","","Fri Aug 01 21:02:00 GMT 2025","broken","Fri Aug 01 21:02:31 GMT 2025","","Validate Search","",""
"","30388","Verify that the account is created successfully - Fill in all the required fields","","Fri Aug 01 21:01:25 GMT 2025","broken","Fri Aug 01 21:01:55 GMT 2025","","Validate creating an account","",""
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Fri Aug 01 21:01:55 GMT 2025","skipped","Fri Aug 01 21:01:55 GMT 2025","","Validate creating an account","",""
