"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60124","Validate search functionality - provide a search term","","Tue Aug 05 05:36:38 GMT 2025","broken","Tue Aug 05 05:37:38 GMT 2025","","Validate Search","",""
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Tue Aug 05 05:34:36 GMT 2025","skipped","Tue Aug 05 05:34:36 GMT 2025","","Validate creating an account","",""
"","60137","Verify that the account is created successfully - Fill in all the required fields","","Tue Aug 05 05:33:36 GMT 2025","broken","Tue Aug 05 05:34:36 GMT 2025","","Validate creating an account","",""
