"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120135","Validate search functionality - provide a search term","","Sun Aug 24 05:31:33 UTC 2025","broken","Sun Aug 24 05:33:33 UTC 2025","","Validate Search","",""
"","1","Validate the unsuccessful account creation - Leave required fields empty","","Sun Aug 24 05:26:54 UTC 2025","skipped","Sun Aug 24 05:26:54 UTC 2025","","Validate creating an account","",""
"","120137","Verify that the account is created successfully - Fill in all the required fields","","Sun Aug 24 05:24:53 UTC 2025","broken","Sun Aug 24 05:26:54 UTC 2025","","Validate creating an account","",""
