"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Fri Aug 15 05:29:39 UTC 2025","skipped","Fri Aug 15 05:29:39 UTC 2025","","Validate creating an account","",""
"","120167","Verify that the account is created successfully - Fill in all the required fields","","Fri Aug 15 05:27:38 UTC 2025","broken","Fri Aug 15 05:29:39 UTC 2025","","Validate creating an account","",""
"","120139","Validate search functionality - provide a search term","","Fri Aug 15 05:34:19 UTC 2025","broken","Fri Aug 15 05:36:19 UTC 2025","","Validate Search","",""
