"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120163","Verify that the account is created successfully - Fill in all the required fields","","Sat Aug 16 05:25:28 UTC 2025","broken","Sat Aug 16 05:27:28 UTC 2025","","Validate creating an account","",""
"","120141","Validate search functionality - provide a search term","","Sat Aug 16 05:32:07 UTC 2025","broken","Sat Aug 16 05:34:07 UTC 2025","","Validate Search","",""
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Sat Aug 16 05:27:28 UTC 2025","skipped","Sat Aug 16 05:27:28 UTC 2025","","Validate creating an account","",""
