"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60106","Validate search functionality - provide a search term","","Fri Aug 01 21:39:01 GMT 2025","broken","Fri Aug 01 21:40:01 GMT 2025","","Validate Search","",""
"","60120","Verify that the account is created successfully - Fill in all the required fields","","Fri Aug 01 21:35:59 GMT 2025","broken","Fri Aug 01 21:36:59 GMT 2025","","Validate creating an account","",""
"","1","Validate the unsuccessful account creation - Leave required fields empty","","Fri Aug 01 21:36:59 GMT 2025","skipped","Fri Aug 01 21:36:59 GMT 2025","","Validate creating an account","",""
