"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Sat Aug 09 05:25:19 GMT 2025","skipped","Sat Aug 09 05:25:19 GMT 2025","","Validate creating an account","",""
"","60135","Verify that the account is created successfully - Fill in all the required fields","","Sat Aug 09 05:24:19 GMT 2025","broken","Sat Aug 09 05:25:19 GMT 2025","","Validate creating an account","",""
"","60106","Validate search functionality - provide a search term","","Sat Aug 09 05:27:21 GMT 2025","broken","Sat Aug 09 05:28:21 GMT 2025","","Validate Search","",""
