"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120137","Validate search functionality - provide a search term","","Fri Aug 22 05:32:06 UTC 2025","broken","Fri Aug 22 05:34:06 UTC 2025","","Validate Search","",""
"","120153","Verify that the account is created successfully - Fill in all the required fields","","Fri Aug 22 05:25:26 UTC 2025","broken","Fri Aug 22 05:27:26 UTC 2025","","Validate creating an account","",""
"","1","Validate the unsuccessful account creation - Leave required fields empty","","Fri Aug 22 05:27:26 UTC 2025","skipped","Fri Aug 22 05:27:26 UTC 2025","","Validate creating an account","",""
