"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30228","Validate search functionality - provide a search term","","Fri Aug 01 21:08:00 GMT 2025","broken","Fri Aug 01 21:08:30 GMT 2025","","Validate Search","",""
"","2","Validate the unsuccessful account creation - Leave required fields empty","","Fri Aug 01 21:07:55 GMT 2025","skipped","Fri Aug 01 21:07:55 GMT 2025","","Validate creating an account","",""
"","30319","Verify that the account is created successfully - Fill in all the required fields","","Fri Aug 01 21:07:24 GMT 2025","broken","Fri Aug 01 21:07:55 GMT 2025","","Validate creating an account","",""
