"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60109","Validate search functionality - provide a search term","","Fri Aug 08 05:36:12 GMT 2025","broken","Fri Aug 08 05:37:12 GMT 2025","","Validate Search","",""
"","60152","Verify that the account is created successfully - Fill in all the required fields","","Fri Aug 08 05:33:10 GMT 2025","broken","Fri Aug 08 05:34:10 GMT 2025","","Validate creating an account","",""
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Fri Aug 08 05:34:10 GMT 2025","skipped","Fri Aug 08 05:34:10 GMT 2025","","Validate creating an account","",""
