"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","172","Validate search functionality - provide a search term","","Mon Aug 11 15:36:10 GMT 2025","broken","Mon Aug 11 15:36:10 GMT 2025","","Validate Search","",""
"","202","Verify that the account is created successfully - Fill in all the required fields","","Mon Aug 11 15:36:06 GMT 2025","broken","Mon Aug 11 15:36:06 GMT 2025","","Validate creating an account","",""
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Mon Aug 11 15:36:06 GMT 2025","skipped","Mon Aug 11 15:36:06 GMT 2025","","Validate creating an account","",""
