"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60141","Validate search functionality - provide a search term","","Mon Aug 11 16:02:38 GMT 2025","broken","Mon Aug 11 16:03:38 GMT 2025","","Validate Search","",""
"","1","Validate the unsuccessful account creation - Leave required fields empty","","Mon Aug 11 16:00:20 GMT 2025","skipped","Mon Aug 11 16:00:20 GMT 2025","","Validate creating an account","",""
"","60139","Verify that the account is created successfully - Fill in all the required fields","","Mon Aug 11 15:59:20 GMT 2025","broken","Mon Aug 11 16:00:20 GMT 2025","","Validate creating an account","",""
