"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120153","Verify that the account is created successfully - Fill in all the required fields","","Sat Aug 23 05:23:43 UTC 2025","broken","Sat Aug 23 05:25:43 UTC 2025","","Validate creating an account","",""
"","120136","Validate search functionality - provide a search term","","Sat Aug 23 05:30:22 UTC 2025","broken","Sat Aug 23 05:32:22 UTC 2025","","Validate Search","",""
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Sat Aug 23 05:25:43 UTC 2025","skipped","Sat Aug 23 05:25:43 UTC 2025","","Validate creating an account","",""
