"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120150","Validate search functionality - provide a search term","","Tue Aug 19 05:32:17 UTC 2025","broken","Tue Aug 19 05:34:18 UTC 2025","","Validate Search","",""
"","0","Validate the unsuccessful account creation - Leave required fields empty","","Tue Aug 19 05:27:38 UTC 2025","skipped","Tue Aug 19 05:27:38 UTC 2025","","Validate creating an account","",""
"","120131","Verify that the account is created successfully - Fill in all the required fields","","Tue Aug 19 05:25:38 UTC 2025","broken","Tue Aug 19 05:27:38 UTC 2025","","Validate creating an account","",""
